"","Category","model","value"
"1","South Asia","ITU",135
"2","SSA","ITU",97
"3","East Asia + Pacific","ITU",83
"4","Americas","ITU",51
"5","Europe + Central Asia","ITU",33
"6","MENA","ITU",28
"7","South Asia","DICE",129.090691202488
"8","SSA","DICE",92.7018335513069
"9","East Asia + Pacific","DICE",50.2880944871789
"10","Americas","DICE",55.9150344086474
"11","Europe + Central Asia","DICE",23.356243771633
"12","MENA","DICE",70.4077561587607
