"","Category","model","value"
"1","Low Income","ITU",72.76
"2","Lower Middle Income","ITU",222.56
"3","Upper Middle Income","ITU",107
"4","High Income","ITU",25.68
"5","Low Income","DICE",59.8827840502345
"6","Lower Middle Income","DICE",236.318894174147
"7","Upper Middle Income","DICE",112.043813937943
"8","High Income","DICE",13.5141614176914
